First Name,Last Name,University,Categories,Headline,Keywords,Profile Link,
Helene,White,Rutgers University,Addiction,Preventing Substance Use Dependence Before Treatment is Necessary,"alcohol, marijuana, drugs, violence, crime, adolescents, young adults, longitudinal, prevention",http://benefunder.org/causes/576/helene-white,
Eun-Young,Mun,Rutgers University,Addiction,Understanding How to Combat Alcohol Misuse among Young Adults via Interventions,"MI, college, drinking, substance use, dependency, binge drinking",http://benefunder.org/causes/580/eun-young-ey-mun,
Mark,West,Rutgers University,Addiction,Breaking the Cycle of Drug Abuse and Binge Eating,addiction; cocaine; drug; bingeing; reward; brain; dopamine; neuron; relapse; craving; neuroscience; psychology; obesity,http://benefunder.org/causes/609/mark-west,
John,Pintar,Rutgers University,Addiction,Targeting Chronic Pain with Potetnially Limited Risk of Addiction,"Opioid, addiction, pain, genetics, analgesia",http://benefunder.org/causes/615/john-pintar,
Randall,Engle,Georgia Institute of Technology,Attention,Focusing out of Distraction into Attention,"working memory, attention, problem solving, intelligence, psychology",http://benefunder.org/causes/410/randall-engle,
Jacqueline,Gottlieb,Columbia University,Attention,"Attention, Curiosity, and Exploration","Attention, decision making, uncertainty reduction, information sampling, active sensing",http://benefunder.org/causes/38/jacqueline-gottlieb,
Steve,Luck,"University of California, Davis",Attention,Optimizing the Brain,"clinical, brain, mind, attention, memory, emotions, ptsd",http://benefunder.org/causes/224/steve-luck,
Adam,Aron,"University of California, San Diego",Behavior,Self-Control Brain Circuits,"adhd, self-control, tourette's, parkinson's, thoughts, inappropriate action, decision",http://benefunder.org/causes/164/adam-aron,
Richard,Davidson,University of Wisconsin-Madison,Behavior,Change your Mind. Change the World.,"mind, wellbeing, aging, behavior, asthma, heart disease",http://benefunder.org/causes/202/richard-davidson,
Art,Markman,The University of Texas at Austin,Behavior,Examining the Prism of Human Behavior,"Similarity, Analogical Reasoning and Analogical Problem Solving, Decision Making , Consumer Behavior, Motivation and Preference, Category Use and Category Learning, Taxonomic Hierarchies and Conceptual Combination, Symbolic and Connectionist models of Analogy, Similarity and Categorization, Knowledge Representation and Causal Mental Models",http://benefunder.org/causes/157/art-markman,
Nicholas,Spitzer,"University of California, San Diego",Behavior,Exploring Neurotransmitter Switching,"Brain plasticity, adult nervous system, neurotransmitter switching, transmitter respecification, behavioral change, parkinson's, OCD, tourette, depression, schizophrenia, motor learning",http://benefunder.org/causes/222/nicholas-spitzer,
Laurence,Steinberg,Temple Universiy of the Commonwealth,Behavior,Making Choices as an Adolescent: How to Minimize Risk Taking,"Adolescence, risk taking, brain development, decision making, public policy",http://benefunder.org/causes/39/laurence-steinberg,
Philip,Peake,Smith College,Behavior,The Ongoing Marshmallow Test,"Marshmallow experiments, self-control, delay of gratification, self regulation, will power",http://benefunder.org/causes/534/philip-k-peake,
Sandra,Hewett,Syracuse University,Brain Injury,Protecting Injured Brain and Promoting Neurological Recovery,"Neuroinflammation; hypoglycemia; hypoxia; cerebral ischemia, oxidative stress, astrocytes, neuron-glia interactions; neural injury, neuroprotection, system xc-; cystine/glutamate transport",http://benefunder.org/causes/570/sandra-hewett,
Jessica,Huber,Purdue University,Communication,Reviving Speech for People with Parkinson's Disease and Aging Adults with Treatments at Home,"Therapeutics, devices, Aging, Parkinson's disease, speech treatment, balance treatment, walking treatment",http://benefunder.org/causes/175/jessica-huber,
Florian,Jaeger,University of Rochester,Communication,Understanding Human Communication,"robust communication, language processing, speech perception, statistical learning, second language acquisition, inference, prediction, Advanced Technologies, Computational sciences, Mathematics, Healthcare, Neurological, Cognitive",http://benefunder.org/causes/47/florian-jaeger,
Marta,Kutas,"University of California, San Diego",Communication,Interpreting Words and Other Sensory Inputs to Construct a World,"Language comprehension, Cognitive Electrophysiology, Human information processing, Mind-brain mapping, Functional differences between the hemispheres, Anticipation/Prediction, Language-memory interface, Electrical brain activity, brainwaves, Electroencephalography (EEG), Event-related brain potentials (ERP), Knowledge driven anticipation/prediction, hearing loss, noisy  environments, big data, reproducible research, Alternative reading methods, optimal viewing position, Non-literal language processing, Synethseia, Interaction of pictorial and verbal information during language comprehension",http://benefunder.org/causes/431/marta-kutas,
David,Poeppel,New York University,Communication,The Brain Basis of Language,"speech perception, brain, language comprehension, music perception, neuronal oscillations, neural coding of speech, neurolinguistics, cognitive neuroscience, neuroimaging",http://benefunder.org/causes/355/david-poeppel,
Mark Aronoff and Matthew Lerner,,Stony Brook University,Communication,Autistic Communication,"Autism, Sign Language, Endogenous Language, Social Communication, Interpersonal Connection, linguistics, psychology",http://benefunder.org/causes/451/mark-aronoff-and-matthew-lerner,
Chris ,Beevers,The University of Texas at Austin,Diagnostics,Translational Research Helps Understand and Treat Mental Health Disorders,"Telemedicine, depression, anxiety, autism, prevention, recovery, care, mental health, behavioral intervention, internet-based",http://benefunder.org/causes/160/christopher-beevers,
Howard,Federoff,UC Irvine,Diagnostics,Biomarkers for Alzheimer’s and Parkinson’s Diseases,"Neurodegeneration, Alzheimer's, Parkinson's, preclinical, biomarkers, secondary prevention",http://benefunder.org/causes/405/howard-federoff,
J. William,Langston,Parkinson's Institute and Clinical Center,Diagnostics,Using Novel Diagnostic Techniques to Transform Parkinson's Disease Research,"diagnosis, disease definition, mechanisms of neurodegeneration, genetics, Parkinson&rsquo;s disease, protein",http://www.benefunder.com/j-william-langston,
Snezana,Milanovic,"MGH, a teaching Hospital of Harvard Medical School",Diagnostics,Cutting-Edge Tools to Combat Depression,,http://benefunder.org/causes/424/snezana-milanovic,
Eva-Maria,Ratai,Harvard University (Medical School),Diagnostics,Pathology Without the Biopsy,"Magnetic Resonance Spectroscopy (MRS),  Magnetic Resonance Imaging (MRI) Neoplasm,  Brain tumor Glioblastoma Multiforme (GBM)  Autism  Neurodegenerative Diseases Amyotrophic Lateral Sclerosis (ALS) Pediatric Hypoxic-ischemic brain injury",http://benefunder.org/causes/382/eva-maria-ratai,
Jerry,Yin,University of Wisconsin-Madison,Diagnostics,The Brain’s “Thermostat”: Shedding Light Upon Neurological Disease,"memory formation, cAMP signaling, CREB circadian rhythms, sleep, neurodegenerative diseases, Fragile X, fruit flies, systems and synaptic consolidation, homeostasis",http://benefunder.org/causes/275/jerry-yin,
Sharon,Dent,University of Texas: MD Anderson Cancer Center,Etiology,Folding the Blueprint of Life,"Therapeutics, Epigenetics, protein folding, DNA, Neurodegeneration, Cancer, Memory, Aggression",http://benefunder.org/causes/420/sharon-dent,
John,Denu,University of Wisconsin-Madison,Etiology,When DNA is Not Our Destiny,"epigenetics, metabolism, genetics, diet, lifestyle, mechanism, disease, cancer, diabetes, neurodegeneration",http://benefunder.org/causes/428/john-denu,
Allan,Drummond,University of Chicago,Etiology,When Stress Causes Disease,"cell stress, self-assembly, heat shock, molecular evolution, neurodegenerative",http://benefunder.org/causes/495/allan-drummond,
