First Name,Last Name,University,Categories,Headline,Keywords,Profile Link,
Lyudmila,Bazhenova,"University of California, San Diego",Biopsy,Cancer in Blood,"liquid biopsy, blood, noninvasive, biomarker",http://benefunder.org/causes/568/lyudmila-bazhenova,
Dino,Di Carlo,"University of California, Los Angeles",Biopsy,Medical Care with Microtechnology,"Therapeutics, Cancer, asthma, fibrosis, sepsis, burns, wounds, healing, diabetes, infection, biofilms, microtechnology, biotechnology, nanotechnology, automation, personalized medicine, regenerative medicine",http://benefunder.org/causes/440/dino-di-carlo,
Heather,Allen,Ohio State University,Diagnostics,Molecular Organization on Surfaces,"climate change, cancer, lung disease, skin, breathing, air pollution",http://benefunder.org/causes/550/heather-allen,
David,Galbraith,University of Arizona,Diagnostics,Meeting the Demands of our Growing Population,"Therapeutics, Flow cytometry, gene expression, flowering plants, census, extinction, cancer, emerging diseases, bioinstrumentation, diagnostics",http://benefunder.org/causes/313/david-galbraith,
James,Goldenring,Vanderbilt University School of Medicine,Diagnostics,Finding the Cause of Congenital Diarrhea,"Rab11, Myosin Vb, Enterocyte polarity, Diarrhea, Neonatal diarrhea, Intestinal brush border, gastric cancer, pediatrics",http://benefunder.org/causes/46/james-goldenring,
Viktor,Gruev,Washington University in St. Louis,Diagnostics,Creating Nano-technology for Early Cancer Detection,"engineering sensory system, clinical trial, surgeon, surgery, patient, marine life, device, nanotechnology, natural vision, medical optical tool",http://benefunder.org/causes/143/viktor-gruev,
Christy,Haynes,University of Minnesota,Diagnostics,Creating Diagnostic and Therapeutic Tools for Rare Blood Diseases and Cancer,"Therapeutics, nanomaterials, sustainable, biological, cancer, blood, medicine, diagnostics, basic science, biosensor",http://benefunder.org/causes/232/christy-haynes,
Dan,Raftery,University of Washington,Diagnostics,The Best Way to Fight Cancer is to Catch it Early,"early detection, metabolism, diagnostic tools, monitor therapies, IBS, diabetes, depression, heart disease, biomarkers",http://benefunder.org/causes/200/dan-raftery,
Hardeep,Singh,Baylor College of Medicine,Diagnostics,Reducing Patient Harm for Six Million Americans Each Year,"patient safety, diagnostic errors, health information technology, electronic health records, test results follow-up, health IT",http://benefunder.org/causes/234/hardeep-singh,
Frazer Lab,,"University of California, San Diego",Diagnostics,Early Detection of Ovarian Cancer,Ovarian cancer; early cancer detection; diagnostic; genomics; bioinformatics,http://benefunder.org/causes/322/frazer-lab,
Lisa,Manning,Syracuse University,Diagnostics,Advancing Biophysics and Soft Matter Physics,"cancer metastasis, asthma, embryonic development, congenital disease, bulk metallic glasses, disordered materials, statistical physics, soft matter physics, biophysics, glassy dynamics, jamming",http://benefunder.org/causes/604/m-lisa-manning,
Shreyas,Vasanawala,Stanford University,Diagnostics,Developing Novel Child-friendly Health Assessments,"pediatric, cardiovascular, oncology, diagnosis, MRI, child, engineering",http://www.benefunder.com/shreyas-vasanawala,
Richard,Willson,University of Houston,Diagnostics,A Take Home Test for Detecting Disease,"diagnosis, stress, lupus, SLE, chlamydia, STI, STD, Women's health, dengue, chikunguya, ALCL, Lung cancer, Ovarian cancer",http://benefunder.org/causes/560/richard-willson,
Murat,Acar,Yale University,Etiology,Cellular Aging and Rejuvenation,"Aging, Systems Biology, Synthetic Biology, Genetics, Cell Biology, Gene Networks, Evolution",http://benefunder.org/causes/364/murat-acar,
Walter,Chazin,Vanderbilt University,Etiology,Fighting Disease at the Atomic Level,"Therapeutics, genome maintenance, cancer, DNA replication, DNA damage, DNA repair, xeroderma pigmentosum, drug discovery, inhibitor discovery, bacterial pathogenesis, innate immunity, calprotectin, diabetes, inflammation, RAGE, structural biology, protein structure, X-ray crystallography, NMR spectroscopy, X-ray scattering, cryo electron microscopy, molecular modeling",http://benefunder.org/causes/267/walter-chazin,
