First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Richard,Davidson,University of Wisconsin-Madison,Behavior,Change your Mind. Change the World.,"mind, wellbeing, aging, behavior, asthma, heart disease",http://benefunder.org/causes/202/richard-davidson
Ayelet,Gneezy,"University of California, San Diego",Behavior,Encouraging Positive Human Behavior,"behavior change, proscocial behavior, impact, Important, Insightful, Innovative, Relevant, Interesting",http://benefunder.org/causes/96/ayelet-gneezy
Jure,Leskovec,Stanford University,Behavior,A Whole New World of Data Regarding Human Behaviors has Emerged with Social Media and Social Networks,"social networks, big data, data science, data mining, social media, computer science, humanities",http://benefunder.org/causes/174/jure-leskovec
Andrew,Bernard,Dartmouth College,Entrepreneurship,The Evolution of Global Production Networks,"International trade and investment, Global supply networks, Buyer-supplier connections, Exporter dynamics, Heterogeneous firms",http://benefunder.org/causes/33/andrew-bernard
John ,Skrentny,"University of California, San Diego",Entrepreneurship,The Science of Science and Innovation Policy,"science, immigration, jobs, policy, workforce, training, competitiveness, growth",http://benefunder.org/causes/317/john-skrentny
The Rady Venture Fund,,"University of California, San Diego",Entrepreneurship,Investing In Students,"venture capital, startup, investment, student, leader",http://benefunder.org/causes/120/rady-venture-fund
von Liebig Enterpreneurism Center,,"University of California, San Diego",Entrepreneurship,Propelling Innovation: Guiding Innovators from the Laboratory to the Marketplace,"innovation, proof-of-concept, research, commercialization, entrepreneurial",http://benefunder.org/causes/540/von-liebig-entrepreneurism-center
Meira,Levinson,Harvard University,Ethics,Educational Dilemmas of Justice,"justice, moral education, philosophy, pedagogy, teaching, education reform, teacher training, social justice, ethics, political theory, values, just schools, education, public schools, charter schools, private schools, K-12, professional development, teacher quality, educational leadership, ethical leadership, urban education, high-needs, school reform, schools, school boards, principals, teacher support",http://benefunder.org/causes/85/meira-levinson
Ethics Unwrapped,,The University of Texas at Austin,Ethics,Education for Ethical Decision-Making,"behavioral ethics, ethical decision-making and behavior, ethics, teaching ethics, ethical leadership",http://benefunder.org/causes/483/ethics-unwrapped
Julie,Fiez,University of Pittsburgh,Neuroscience,The Neuroscience Behind Learning,"reading, language, mathematical ability, learning, skill, cognition, education, brain",http://benefunder.org/causes/464/julie-fiez
Loren,Frank,"University Of California, San Francisco",Neuroscience,Revealing How the Brain Learns and Remembers,"Learning, Memory, Decision-making, Hippocampus, Alzheimer’s, Brain disease, BRAIN Initiative",http://benefunder.org/causes/62/loren-frank
David,Geary,University of Missouri-Columbia,Neuroscience,First Grade Report Cards: an Indicator of Future Success?,"mathematics education, mathematics learning, learning disabilities, at risk children, academic achievement, learning disabilities, children’s thinking and learning, education, grade",benefunder.org/causes/377/david-geary
Geoffrey,Ghose,University of Minnesota,Neuroscience,Using the Visual System to Understand our Most Basic Cognitive Abilities,"neural coding, attention, learning, fMRI, brain stimulation, vision",http://benefunder.org/causes/178/geoffrey-ghose
Jacqueline,Gottlieb,Columbia University,Neuroscience,"Attention, Curiosity, and Exploration","Attention, decision making, uncertainty reduction, information sampling, active sensing",http://benefunder.org/causes/38/jacqueline-gottlieb
Terry,Jernigan,"University of California, San Diego",Neuroscience,Learning How to Improve Learning,"individuality, learning, neuroimaging, behavior, genes, genetics, brain, cognitive, development, education, technology, translation",http://benefunder.org/causes/346/terry-jernigan
