First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Cameron,Ainsworth,University of South Florida,Computer Science,Human Impacts on Marine Ecosystems,"marine, oceans, ecosystems, fisheries, oil spill, climate change, ocean acidification, global warming",http://benefunder.org/causes/115/cameron-ainsworth
Julia,Stoyanovich,Drexel University,Computer Science,Making Big Data Fair,"data, knowledge, data analysis, data management, preference data, data fairness, data responsibly",http://benefunder.org/causes/401/julia-stoyanovich
Lorrie,Cranor,Carnegie Mellon University,Computer Science,Usable and Effective Online Security and Privacy,"privacy, security, usability, HCI, usable security, passwords, access control, authentication",http://benefunder.org/causes/78/lorrie-cranor
Noah,Smith,Carnegie Mellon University,Computer Science,Analyzing Human Language,"natural language processing, science, finance, government, computer",http://benefunder.org/causes/144/noah-smith
Terrence,August,"University of California, San Diego",Computer Science,The Economics of Cybersecurity,"economics of cybersecurity, software liability, cybersecurity investment, designing incentives for cybersecurity, security and privacy",http://benefunder.org/causes/283/terrence-august
Kay,Holekamp,Michigan State University,Conservation,Wildlife Conservation Matters,"African wildlife, Anthropogenic disturbance, Carnivores, Cheetah, Conservation biology, Disease ecology, Ecology, Extinction risk, Hyenas, Lions, Maasai, Masai Mara, Persecution, Serengeti Ecosystem, Telemetry, Africa",http://benefunder.org/causes/64/kay-holekamp
Mary,Pearl,Macaulay Honors College of City University of New York,Conservation,Protecting the Planet and Preserving History,"Ethnobotany, Native American, Economic botany, Northeastern Algonquian, Medicinal Plants, Human ecology, race, ethnicity",http://benefunder.org/causes/328/mary-pearl
Reed,Noss,University of Florida,Conservation,The Art of Conservation,"conservation, wild life, road, photography, art, mixed media",http://benefunder.org/causes/212/reed-noss
Taylor,Ricketts,University of Vermont,Conservation,"Economist, Meet Biologist. Now Let's Save the World","environment, environmental science, economics, sustainability, conservation, conservation biology, ecology, ecological economics, social-ecological systems, ecosystem services, nature's benefits, pollination",http://benefunder.org/causes/448/taylor-ricketts
Ronald,Clarke,Rutgers University,Conservation,Endangered Animals Must be Protected from Poaching,"Poaching; illegal wildlife trade; environmental criminology, Endangered animals   ",http://benefunder.org/causes/588/ronald-v-clarke
Rachael,Winfree,Rutgers University,Conservation,Conversation around Pollinator Conservation,"pollinator, ecosystem service, biodiversity, biological conservation, pollination",http://benefunder.org/causes/618/rachael-winfree
Heather,Coleman,Syracuse University,Crop Security,Non-food Crops for Biofuel Production,"plant biotechnology, biofuels, nitrogen use efficiency, plant biology",http://benefunder.org/causes/493/heather-coleman
Jeff,Conner,Michigan State University,Crop Security,An Evolutionary Approach to Agricultural Pests,Ecological genetics; evolutionary genomics; adaptation; natural selection; agricultural weed evolution; crop domestication,http://benefunder.org/causes/425/jeff-conner
Johannes,Lehmann,Cornell University,Crop Security,"Good Soil, Good Health","soil organic matter, food security, climate change mitigation, fertilizer production, soil health, sustainability, organic farming, waste management, fertility, crops",http://benefunder.org/causes/305/johannes-lehmann
Joshua,Gendron,Yale University,Crop Security,Ensuring Plant Productivity,"Plant science, Circadian clock, Genetics, Global, climate change, Crop productivity",http://benefunder.org/causes/511/joshua-gendron
Roger,Innes,Indiana University Bloomington,Crop Security,Small Boosts to the Plant Immune System Yield Dramatic Results,"Sustainable agriculture, Immunology, Plant Molecular Biology, Plant-microbe interactions, Plant pathology, Disease resistance, Crop breeding, Genetics, Cell biology, Food production, Environment, Gardening",http://benefunder.org/causes/48/roger-innes
Scot,Hulbert,Washington State University,Crop Security,Controlling Crop Diseases,"Disease resistance, plant biology, pathogen biology, cereal rusts, fungal biology, plant pathology, disease control, sustainable agriculture, crop, food security",http://benefunder.org/causes/524/scot-hulbert
Wendy,Peer,University of Maryland College Park Campus,Crop Security,Developing Seeds that Thrive,"Flavonoids, remediation, Oxidation, Reactive oxygen species (ROS), Signaling, Environment, Ecology, Health – diabetes and heart disease, Aminopeptidases / proteases, Cell cycle, Cell division, Hormones, Invasive species, Herbicides, Seedling establishment, Sustainability, applied",http://benefunder.org/causes/385/wendy-peer
Andrew,Bernard,Dartmouth College,Economy,The Evolution of Global Production Networks,"International trade and investment, Global supply networks, Buyer-supplier connections, Exporter dynamics, Heterogeneous firms",http://benefunder.org/causes/33/andrew-bernard
Arachu,Castro,Tulane University,Economy,Poverty and Pregnancy: Improving the Lives of Women and Children,"Global health, Latin America, Caribbean, maternal mortality, health inequality, poverty, maternal and child health, reproductive health, adolescent health, women’s health, public health",http://benefunder.org/causes/52/arachu-castro
Nathan,Nunn,Harvard University,Economy,Centuries-old Histories: Explaining Poverty in the Developing World,"economic development; poverty; culture; institutions; historical persistence, social justice",http://benefunder.org/causes/477/nathan-nunn
Ethics Unwrapped,,The University of Texas at Austin,Education,Education for Ethical Decision-Making,"behavioral ethics, ethical decision-making and behavior, ethics, teaching ethics, ethical leadership",http://benefunder.org/causes/483/ethics-unwrapped
Rada,Mihalcea,University of Michigan,Education,Language: a Window into Human Nature,"tracking of human behavior, language as a window into human nature, computational linguistics, multimodal processing, psycholinguistics, sociolinguistics, tracking of cultural values, tracking of moral values, people, geolocation, deception, detection",http://benefunder.org/causes/502/rada-mihalcea
Sandra,Waxman,Northwestern University,Education,Windows into the Infant Mind,"infants, language, linguistics, cognition, culture, science education, diversity, international, developmental challenges, early development, globalization, nature, nurture, speech, thinking, cross-cultural",http://benefunder.org/causes/551/sandra-waxman
Kimi,Takesue,Rutgers University,Education,Artful Films That Challenge Stereotypes,"Cross-cultural, Identity, Ethnicity, Diversity, Asian-American, Japanese-American, Film, Documentary, Observational, Narrative, Visual Arts, Artist, Creativity, Aging, Tourism, Globalization, Global Warming, Environment, Climate-Change,",http://benefunder.org/causes/612/kimi-takesue
Deborah,Lawrence,University of Virginia,Energy,Climate Solutions in Land Use,"Energy, Infrastructure & Resources, ecology, law, policy",http://benefunder.org/causes/437/deborah-lawrence
Howard,Spero,"University of California, Davis",Energy,The Ocean Floor Reveals our Climate History,"paleoceanography, paleoclimatology, foraminifera, geochemistry, paleobiology, biogeochemistry",http://benefunder.org/causes/554/howard-spero
Ian,Howat,Ohio State University,Energy,A Global Picture of Glaciers,"Sea level, Ice Sheets, Climate Change, Glaciers, Arctic, Antarctic, Polar",http://benefunder.org/causes/214/ian-howat
James,Hansen,Columbia University,Energy,Understanding Climate Change,"Energy, Infrastructure & Resources",http://benefunder.org/causes/49/james-hansen
Kara,Kockelman,The University of Texas at Austin,Energy,Securing A Better Future Through Urban Forecasting,"rideshare, self-driving car, urban forecasting, electrified car, electricl vehicle, congestion, emission, crash, energy",http://benefunder.org/causes/156/kara-kockelman
Nicolas,Cassar,Duke University,Energy,Studying Environmental Composition,"Infrastructure & Resources, climate change",http://benefunder.org/causes/106/nicolas-cassar
David,Troutt,Rutgers University,Equality,How Geography Shapes Structural Inequality,equity metropolitan opportunity inequality place race socioeconomic status institutional rules law and policy,http://benefunder.org/causes/596/david-dante-troutt
Kath,Weston,University of Virginia,Equality,Making the Most of Disruption,"inequality, economic crisis, environment, finance, ecology, science, history, wellbeing, friendship, kinship, family, precariousness, disruption",http://benefunder.org/causes/573/kath-weston
Andrew ,Ellington,The University of Texas at Austin,Healthcare,At-home Healthcare Diagnostics,"symptoms, point-of-care diagnostics, early diagnostics, home-health, Telemedicine",http://benefunder.org/causes/149/andrew-ellington
Barry,Popkin,University of North Carolina Chapel Hill,Healthcare,Fighting Global Obesity,"food system dynamics, nutrition transition, dietary change, large scale regulatory program/policy research and implementation and evaluation, US, low and middle income countries, obesity, processed foods research, diet, wellbeing",http://benefunder.org/causes/34/barry-popkin
Claire,Snyder,Johns Hopkins University,Healthcare,Focusing on the Whole Patient,"cancer, quality of life, quality of care, primary care, coordination of care",http://benefunder.org/causes/28/claire-snyder
David,Galbraith,University of Arizona,Healthcare,Meeting the Demands of our Growing Population,"Therapeutics, Flow cytometry, gene expression, flowering plants, census, extinction, cancer, emerging diseases, bioinstrumentation, diagnostics",http://benefunder.org/causes/313/david-galbraith
Evan,Thomas,Portland State University,Healthcare,Bringing the Internet of Things to Global Health,"Mobile Platforms, Environmental Health, Poverty Reduction, Big Data",http://benefunder.org/causes/337/evan-thomas
Guttmacher Institute,,Guttmacher Institute,Healthcare,The Guttmacher Institute: The Scientific Backbone of the Reproductive Health Community,"Sexual and reproductive health, women’s health, law and policy, abortion, family planning, contraception, teen pregnancy, birth control",http://benefunder.org/causes/273/guttmacher-institute
James,Cleary,University of Wisconsin-Madison,Healthcare,Palliative Care Extends Beyond Borders,"Public health, palliative care, cancer pain, pain relief, opioid availability, aging, end-of-life, hospice, pain policy, middle income, countries",http://benefunder.org/causes/56/james-cleary
John Ayers & Mark Dredze,,Johns Hopkins University,Healthcare,New Frontiers in Public Health,"Big Data, Public Health, Computer Science, Tobacco Control, Mental Health, Obesity, artificial intelligence, machine learning, data mining, natural language processing, flu, web data, cigarette, smoking, twitter, social media, depression",http://benefunder.org/causes/547/john-ayers-mark-dredze
Josh,Snodgrass,University of Oregon,Healthcare,Anthropology Provides Powerful Data,"evolution, health, data, biology, clinical medicine, public health, diet, human behavior, biomarker",http://benefunder.org/causes/213/josh-snodgrass
