First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Eugenio,Culurciello,Purdue University,Aritificial Intelligence,Making Computers Work Like Humans,"algorithms, electrical, computer, machine, synthetic vision and communication",http://benefunder.org/causes/138/eugenio-culurciello
Marie-Catherine,de Marneffe,Ohio State University,Aritificial Intelligence,Capturing Meaning: How Information Can Be Expressed Without Being Said,"natural language processing, computational pragmatics, implicit meaning, language learning, machine learning",http://benefunder.org/causes/89/marie-catherine-de-marneffe
Krzysztof,Gajos,Harvard University,Aritificial Intelligence,Designing Intelligent Interactive Systems,"Human-Computer Interaction, Intelligent Interactive Systems, Adaptive and Personalized User Interfaces, Creativity, Learning at Scale, Crowd-powered systems, Engaging broader publics in research, Accessibility",http://benefunder.org/causes/125/krzysztof-gajos
Yun Raymond,Fu,Northeastern University,Artificial Intelligence,Video Footage Helps Predict the Future,"Therapeutics, informatics, internet, security, imaging, artificial intelligence, machine learning",http://benefunder.org/causes/378/yun-raymond-fu
John,Laird,University of Michigan,Artificial Intelligence,The Future of Artificial Intelligence,"Artificial intelligence, cognitive architecture, general intelligence, integrated intelligence, interactive task learning",http://benefunder.org/causes/278/john-laird
Noah,Smith,Carnegie Mellon University,Artificial Intelligence,Analyzing Human Language,"natural language processing, science, finance, government, computer",http://benefunder.org/causes/144/noah-smith
Peter,Stone,The University of Texas at Austin,Artificial Intelligence,Sporty Robots Advance Artificial Intelligence,"robot, soccer, artificial intelligence, automation",http://benefunder.org/causes/135/peter-stone
Manuela,Veloso,Carnegie Mellon University,Artificial Intelligence,Need an Assistant? Try a Robot,"Artificial intelligence, Robotics, Autonomous robots, Service mobile robots, Human-robot interaction",http://benefunder.org/causes/445/manuela-veloso
Yisong,Yue,California Institute of Technology,Artificial Intelligence,Taking Machine Learning to the Next Level,"Humans-in-the-loop, Machine Learning, Interpretable Machine Learning, Interactive Machine Learning, Spatiotemporal Reasoning, Structured Prediction",http://benefunder.org/causes/306/yisong-yue
Nalini,Venkatasubramanian,"University of California, Irvine",Artificial Intelligence,Creating Computing Systems that Intelligently Adapt,"mobile devices, sensor platforms, Internet of things, wired, wireless, web-based services, cloud computing platforms",http://benefunder.org/causes/611/nalini-venkatasubramanian
The Institute for Pure and Applied Mathematics,(IPAM),"University of California, Los Angeles",Big Data,When Math is Added Back to the Scientific Equation,"information science, machine learning, materials design, genomics, social analytics",http://benefunder.org/causes/529/institute-pure-and-applied-mathematics-ipam
Anima,Anandkumar,"University of California, Irvine",Big Data,Machine Learning Exploits Big Data,"Machine learning, high dimensional statistics, large-scale learning, social network analysis, topic modeling, computational biology",http://benefunder.org/causes/370/anima-anandkumar
Alán,Aspuru-Guzik,Harvard University,Big Data,Designing the Materials for the Sustainable Age of Humanity,"renewable energy, renewable energy materials, materials discovery, photosynthesis, quantum information, quantum computing, quantum simulation, metabolism, origins of life, solar cells, flow batteries, energy generation, energy storage, organic light-emitting diodes, OLED, quantum chemistry, quantum mechanics, compressed sensing, applied mathematics, computational chemistry, computational physics, quantum effects in biology, quantum algorithms.",http://benefunder.org/causes/479/al%C3%A1n-aspuru-guzik
Serafim,Batzoglou,Stanford University,Big Data,Genomic Data Leads to Better Understanding of the Genomic Progression of Breast Cancer,"computational genomics, cancer genomics, population genetics, breast cancer, cell lineage reconstruction",http://benefunder.org/causes/233/serafim-batzoglou
Niklas,Elmqvist,University of Maryland College Park Campus,Big Data,Eliminating Information Overload,"Visualization, analytics, information visualization, visual analytics, human-computer interaction, augmented cognition, ubiquitous analytics",http://benefunder.org/causes/169/niklas-elmqvist
Deborah,Estrin,Cornell University,Big Data,Individualizing Big Data,"small data, mobile health, mobile systems, ubiquitous computing",http://benefunder.org/causes/102/deborah-estrin
Laura,Gagliardi,University of Minnesota,Big Data,Computational Modeling Searches for Efficient Energy Sources,Energy Efficiency Technologies,http://benefunder.org/causes/81/laura-gagliardi
Isabelle,Guyon,New York University,Big Data,Engaging the Public in Data Science,"data science, big data, challenges in machine learning, scientific competitions, coopetitions",http://benefunder.org/causes/368/isabelle-guyon
Peter,Karp,Stanford Research Institute,Big Data,Developing Computational Cell Models,"Bioinformatics, Metabolic pathways, Genomics, Metabolic modeling, Computer Science, big data, biology",http://benefunder.org/causes/60/peter-karp
Michael,Kurtz,Harvard University,Big Data,An Astronomical Deep Space Search Engine,"astrophysics, information, data, astronomy, algorithm, search engine",http://benefunder.org/causes/161/michael-kurtz
Michael,Mahoney,International Computer Science Institute,Big Data,Analyzing Modern Massive Data Sets,"algorithms, statistics, applied mathematics, machine learning, big data, social networks, internet analytics, genetics, informatics, astronomy, medical imaging",http://benefunder.org/causes/496/michael-mahoney
Julie,Mitchell,University of Wisconsin-Madison,Big Data,Illuminating Tomorrow’s Drug Design Targets,"Therapeutics, Health IT, proteomics, big data, bioinformatics",http://benefunder.org/causes/372/julie-mitchell
Ramesh,Narayan,Harvard University,Big Data,Black Holes: Mysteries Unsolved,"Physics, dark matter, black hole, astrophysics, universe, cosmology, accretion, space physics, event horizon, singularity, X-ray astronomy",http://benefunder.org/causes/465/ramesh-narayan
Deanna,Needell,Claremont McKenna College,Big Data,Compressing Data Signals and Information,"mathematics, medical imaging, compression, big data, dimension reduction, optimization, greedy algorithms, compressed sensing",http://benefunder.org/causes/37/deanna-needell
T. S. Eugene,Ng,Rice University,Big Data,Creating Powerful Computing Platforms Needed to Tackle Even More Challenging Problems,"Network, computer, photonics, big data, cloud, software, performance, scalability, robustness",http://benefunder.org/causes/239/t-s-eugene-ng
Yasunori,Nomura,"University of California, Berkeley",Big Data,Conceptualizing a Multiverse,"quantum gravity, black holes, multiverse, particle physics, cosmology",http://benefunder.org/causes/223/yasunori-nomura
Thomas,Reps,University of Wisconsin-Madison,Big Data,Sophisticated Tools Help Guide Programmers,"program analysis; abstract interpretation; dataflow analysis; logic-based methods; model checking; path problems; computer security; symbolic abstraction and decision procedures; alias analysis,  pointer analysis, and shape analysis",http://benefunder.org/causes/307/thomas-reps
Justin,Siegel,"University of California, Davis",Big Data,How to Improve Lives from the Molecular Level,"Therapeutics, enzyme design, catalyst",http://benefunder.org/causes/383/justin-siegel
Sam,Stechmann,University of Wisconsin-Madison,Big Data,Predicting Weather a Season in Advance,"Weather prediction, climate prediction, clouds, rainfall, atmospheric waves, applied mathematics, computational mathematics, stochastic models",http://benefunder.org/causes/361/sam-stechmann
Julia,Stoyanovich,Drexel University,Big Data,Making Big Data Fair,"data, knowledge, data analysis, data management, preference data, data fairness, data responsibly",http://benefunder.org/causes/401/julia-stoyanovich
Ameet,Talwalkar,"University of California, Los Angeles",Big Data,Harnessing the Power of Data,"Scalable Machine Learning, Automated Machine Learning, Distributed Machine Learning, Divide-and-conquer, Hyperparameter Optimization, MLlib, Apache Spark, Big Data, Cloud Computing",http://benefunder.org/causes/357/ameet-talwalkar
Mohammed,Zaki,Rensselaer Polytechnic Institute,Big Data,The Computer Scientist,"real-world applications, intuitive data mining and machine learning, big data,  citation networks, social networks, bioinformatics, scalable and parallel data mining, pattern mining, graph mining and analytics",http://benefunder.org/causes/30/mohammed-zaki
Gustavo Scuseria & Randy Hulet,,Rice University,Big Data,Collaboration Excites Sustainable Energy Solutions,"Energy, superconductivity",http://benefunder.org/causes/375/gustavo-scuseria-randy-hulet
Center for Visual Computing,,"University of California, San Diego",Computer Vision,Redefining Digital Reality,"Computer Graphics, Computer Vision, Digital Imaging, Computational Photography, Mobile Visual Computing, Rendering, Augmented Reality ",http://benefunder.org/causes/373/center-visual-computing
Kristin,Dana,Rutgers University,Computer Vision,More than meets the eye: Cameras for Capturing Patterns,"computational photography, computer vision, machine learning, intelligent cameras, computational illumination, statistical inference",http://benefunder.org/causes/616/kristin-dana
Terrence,August,"University of California, San Diego",Cybersecurity,The Economics of Cybersecurity,"economics of cybersecurity, software liability, cybersecurity investment, designing incentives for cybersecurity, security and privacy",http://benefunder.org/causes/283/terrence-august
Stephen,Chong,Harvard University,Cybersecurity,Securing Information,"programmer, security, computer, business dealing, commerce, personal information",http://benefunder.org/causes/171/stephen-chong
Lorrie,Cranor,Carnegie Mellon University,Cybersecurity,Usable and Effective Online Security and Privacy,"privacy, security, usability, HCI, usable security, passwords, access control, authentication",http://benefunder.org/causes/78/lorrie-cranor
Wenliang (Kevin),Du,Syracuse University,Cybersecurity,Smartphones: Attack and Defense,"smartphone security, security education, computer security, hacking",http://benefunder.org/causes/533/wenliang-kevin-du
Serge,Egelman,International Computer Science Institute,Cybersecurity,Computing in the Human Factor,"Privacy, security, human-computer interaction, human factors, usability",http://benefunder.org/causes/229/serge-egelman
Gerald,Friedland,International Computer Science Institute,Cybersecurity,Online Privacy Supports Offline Privacy,"privacy, multimedia, big data, data mining, video search",http://benefunder.org/causes/297/gerald-friedland
Angelos,Keromytis,Columbia University,Cybersecurity,Preventative Cybersecurity,"Cybersecurity, cryptography, information security, network security, software security",http://benefunder.org/causes/467/angelos-keromytis
Daniel,Lowd,University of Oregon,Cybersecurity,Machine Learning Defends Internet Security,"internet security, machine learning, ",http://benefunder.org/causes/211/daniel-lowd
Emerson,Murphy-Hill,North Carolina State University,Cybersecurity,Powerful Technology for Society's Benefit,"software engineering, human computer interaction, tools, information workers, usability, awareness",http://benefunder.org/causes/74/emerson-murphy-hill
Amit,Sahai,"University of California, Los Angeles",Cybersecurity,Hiding Secrets in Software,"cybersecurity, mathematics, computer science, encryption, cryptography, software, foundations, protocols, authentication, computation",http://benefunder.org/causes/352/amit-sahai
Lawrence,Saul,"University of California, San Diego",Cybersecurity,Ending Malware Mayhem,"Machine Learning, Artificial Intelligence, Internet, Security, Computer Security, Computer Systems, Dimensional Data Analysis, Probabilistic Graphical Modeling, Distance Metric Learning, Pattern Recognition, Auditory Computation, Voice Processing",http://benefunder.org/causes/197/lawrence-saul
Stefan,Savage,"University of California, San Diego",Cybersecurity,Fast & Furious Cybercrime-Stompers,"Economics of E-Crime, Characterizing Availability, Automotive Systems, Routing Protocols, Data Center Virtualization, Cyber Security, Computer & Internet Security",http://benefunder.org/causes/201/stefan-savage
Terry,Bahill,University of Arizona,Health IT,Engineering Research Empowers Tribal Youth,children; Tohono O'odham Nation; obesity; type 2 diabetes; female centric; free-form text matching; comparison of free-form sounds; matching of many images from multiple directions.,http://benefunder.org/causes/153/terry-bahill
Jernej,Barbic,University of Southern California,Health IT,"Free Software for Computer Animation, Virtual Reality, Film and Games","computer simulator, military simulator, computer science, technology",http://benefunder.org/causes/148/jernej-barbic
Dennis,Barbour,Washington University,Health IT,Developing Video Games for Medical Diagnostics,"Therapeutics, mobile game, device, stroke, machine learning",http://benefunder.org/causes/141/dennis-barbour
Tanzeem,Choudhury,Cornell University,Health IT,Wearable Technologies Track Mental Health,"mHealth, Ubiquitous Computing, Internet of Things, People-Aware Computing, Reality Mining, Sociometer, bipolar, mood control, emotions",http://benefunder.org/causes/393/tanzeem-choudhury
Todd,Coleman,"University of California, San Diego",Health IT,Advancing Wearable Health with Smart Skin Sensors and Cloud Analytics,"nanodevices, nanotechnology, wearable sensors, glucose monitoring, remote monitoring, biomedical",http://benefunder.org/causes/124/todd-coleman
Fernando,de la Torre,Carnegie Mellon University,Health IT,Human Sensing (Understanding Human Behavior from Sensors),"Health, Emotion, Parkinson’s, Computer Vision, Machine Learning, Depression, Stress, Fatigue, Face",http://benefunder.org/causes/235/fernando-de-la-torre
Richard,Garfein,"Univeristy of California, San Diego",Health IT,Eliminating Disease Worldwide,"Mobile Platforms, Tuberculosis, Public Health, Treatment and Diagnosis of Infectious Diseases, Disease Prevention, Social Entrepreneurship, Mobile Health",http://benefunder.org/causes/192/richard-garfein
Anna,Gilbert,University of Michigan,Health IT,The Algorithms Behind Engineerings’ Greatest Challenges,"analyze, prove, create, build, and apply",http://benefunder.org/causes/498/anna-gilbert
Richard D.,Gitlin,University of South Florida,Health IT,The Next Step in Minimally Invasive Surgery,"Paradigm shift in Minimally Invasive Surgery, in vivo wireless communications and networking, cyber-physical embedded systems",http://benefunder.org/causes/544/richard-d-gitlin
Gillian,Hayes,"University of California, Irvine",Health IT,Creating Inclusive and Empowering Technologies,"HCI, Assistive Technology, Medical Informatics, Educational Technology, Social Computing, Social Media, CSCW, Autism, Hunger, ADHD, Action Research, anti bullying, social integration, autism",http://benefunder.org/causes/348/gillian-hayes
