First Name,Last Name,University,Categories,Headline,Keywords,Profile Link,
Kevin,Murphy,"University of California, San Diego",Anxiety,A Personal Mission becomes A Revolutionary Treatment,"rTMS, MRT, depression, anxiety, eating disorder, bulimia, anorexia, veterans, vets, war, PTSD, traumatic stress, ASD, spectrum, autism, treatment, irritable bowel syndrome",http://benefunder.org/causes/528/kevin-t-murphy,
Alysson,Muotri,"University of California, San Diego",Autism,Modeling Brain Development and Diseases,"Therapeutics, regenerative medicine, social brain, development, autism, retroelements, mobile elements, junk DNA, evolution, Neanderthals",http://benefunder.org/causes/323/alysson-muotri,
Andrew ,Feinberg,Johns Hopkins University,Autism,Deciphering the Epigenetic Code of Life,"Epigenetics, Cancer, Autism, Aging, Environment, Diabetes, Mathematics",http://benefunder.org/causes/545/andrew-feinberg,
Catherine,Lozupone,"University of Colorado, Denver",Autism,The Human Microbiome: the New Frontier,"Therapeutics, microbiota, HIV, bioinformatics, diabetes, autism, obesity, asthma",http://benefunder.org/causes/272/catherine-lozupone,
Center for Autism Research and Translation,,"University of California, Irvine",Autism,Curing Autism,"Therapeutics, autism, ion channel diseases, complex neurogenetic diseases, drug discovery platform, signaling diseases",http://benefunder.org/causes/362/center-autism-research-and-translation-jay-gargus,
Chris ,Beevers,The University of Texas at Austin,Autism,Translational Research Helps Understand and Treat Mental Health Disorders,"Telemedicine, depression, anxiety, autism, prevention, recovery, care, mental health, behavioral intervention, internet-based",http://benefunder.org/causes/160/christopher-beevers,
David,Heeger,New York University,Autism,Computational Theory Sheds Light on Brain Functioning,"neuroscience, computational neuroscience, vision, visual neuroscience, cognitive neuroscience, autism, neuroimaging, MRI, fMRI, EEG, MEG, data science, image processing, computer vision, computer graphics, neuroengineering, computer science, psychology, perception, perceptual psychology",http://benefunder.org/causes/66/david-heeger,
Francesco,Tombola,"University of California, Irvine",Autism,Understanding Ion Channel Activity,"Therapeutics, Ion channels, Pharmacology, Electrophysiology, Stroke, Breast Cancer, Colorectal Cancer, B-Cell Lymphoma, Stem Cell Therapy, Microglia, Oxidative Stress, Autism Spectrum Disorder",http://benefunder.org/causes/492/francesco-tombola,
Jeffrey,Conn,Vanderbilt University,Autism,Discovery of Breakthrough Medicines for Serious Brain Disorders,"Therapeutics, Drug Discovery, Parkinson’s / Movement Disorders, Rett Syndrome and Autism Spectrum Disorders, Major Depression Disorder, Alzheimer's, Schizophrenia",http://benefunder.org/causes/358/jeffrey-conn,
Kimberley,McAllister,"University of California, Davis",Autism,When Neurons Connect: the Developing Brain,"Therapeutics, neural development, neural plasticity, autism, schizophrenia, depression, memory, neuroimmunology",http://benefunder.org/causes/384/kimberley-mcallister,
Lauren A.,Weiss,"University Of California, San Francisco",Autism,Unraveling the Genetics of Autism,"Therapeutics, autism, genetics, psychiatric genetics, behavioral genetics, sex differences, epistasis, gene-environment interaction, induced pluripotent stem cells, RASopathies, neurofibromatosis, Noonan syndrome, Costello syndrome, cardio-facio-cutaneous syndrome",http://benefunder.org/causes/342/lauren-weiss,
Mark Aronoff and Matthew Lerner,,Stony Brook University,Autism,Autistic Communication,"Autism, Sign Language, Endogenous Language, Social Communication, Interpersonal Connection, linguistics, psychology",http://benefunder.org/causes/451/mark-aronoff-and-matthew-lerner,
Natalie,Russo,Syracuse University,Autism,Learning from the Strengths of Autism Spectrum Disorder,"autism, sensory processing, multisensory integration, neurophysiology",http://benefunder.org/causes/491/natalie-russo,
Roberto,Fernandez Galan,Case Western Reserve University,Autism,Decoding Brain Circuits,"Functional brain connectivity, electrophysiology, computational neuroscience, epilepsy, autism, multielectrode arrays (MEA), brain circuits",http://benefunder.org/causes/188/roberto-fernandez-galan,
Stephanie,Seneff,Massachusetts Institute of Technology,Autism,Living Amongst Toxicity,"Autism, heart disease, Alzheimer's, glyphosate, aluminum, sulfur, cholesterol, global warming, sustainable agriculture, drug side effects, statin drugs, vasculature, natural language processing, interactive dialogue systems, toxic, environment",benefunder.org/causes/408/stephanie-seneff,
Yi,Zuo,"University of California, Santa Cruz",Autism,New Fronts in Neuroscience,"Neuroscience, Learning and Memory, Synapse plasticity, Brain, Neurological disease, Autism, Learning disorder, Astrocytes, Microscopy",http://benefunder.org/causes/532/yi-zuo,
Zhandong,Liu,Baylor College of Medicine,Autism,Computers in Drug Development,"mathematics, computer science, computational, data integration, neurodegenerative diseases, neurological, and autism",http://benefunder.org/causes/549/zhandong-liu,
