First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Amit,Bandyopadhyay,Washington State University,Aerospace,Solutions in 3D Printing,"Additive manufacturing, porous metals, bioceramics, bone-tissue engineering, high temperature materials, hard coatings to minimize metal ion release in vivo",http://benefunder.org/causes/517/amit-bandyopadhyay
Alan,Kostelecky,Indiana University Bloomington,Aerospace,Beyond Einstein: The Search for Relativity Violations,"physics, mathematics, applied math, einstein, theory, relativity",http://benefunder.org/causes/155/alan-kostelecky
Gerald,Kulcinski,University of Wisconsin-Madison,Aerospace,Nuclear Energy Without Nuclear Waste,"Energy, Infrastructure & Resources, fusion",http://benefunder.org/causes/93/gerald-kulcinski
Elaine,Oran,University of Maryland College Park Campus,Aerospace,Expanding Knowledge of Explosions,"explosions, numerical simulation of reactive flows, high-speed propulsion, astrophysical explosions, solutions of the fully compressible Navier-Stokes equations, dust explosions, turbulence and turbulent reacting flows, coal mine explosions, gaseous fuels, multiphase reactions, Explosion Theory and Mitigation, fluid dynamics, disaster, natural disaster",http://benefunder.org/causes/426/elaine-oran
Yuntian,Zhu,North Carolina State University,Aerospace,The Strongest Materials Ever and Space Travel,"Carbon Nanotubes, Composites,Strong, lightweight, conductive, Aerospace, Aircrafts, Satellites, Space station, Space shuttle, Mars, new materials",http://benefunder.org/causes/79/yuntian-zhu
Melissa,Green,Syracuse University,Aerospace,Green Fluid Dynamics,"fluid dynamics, vortices, energy, marine biology, propulsion, bio-inspired engineering, biomimicry",http://benefunder.org/causes/562/melissa-green
Douglas,Clowe,Ohio University,Astrophysics,Uncovering the Mysteries of Dark Matter in our Universe,"astronomy, cosmology, dark matter, dark energy, gravitational lensing, galaxy, space, universe, general relativity",http://benefunder.org/causes/230/douglas-clowe
Philip,Kaaret,University of Iowa,Astrophysics,Investigating Medium-Sized Black Holes,"Black holes, early universe, X-ray, CubeSat, polarization, accretion, reionization, cosmic X-ray background, X-ray binaries, space, astrophysics",http://benefunder.org/causes/416/philip-kaaret
Maura,McLaughlin,West Virginia University,Astrophysics,Exotic Stars Are Testing Einstein's Predictions,radio astronomy; pulsars; gravitational waves; STEM pipeline; STEM education; astrophysics,http://benefunder.org/causes/185/maura-mclaughlin
Ramesh,Narayan,Harvard University,Astrophysics,Black Holes: Mysteries Unsolved,"Physics, dark matter, black hole, astrophysics, universe, cosmology, accretion, space physics, event horizon, singularity, X-ray astronomy",http://benefunder.org/causes/465/ramesh-narayan
Gordon,Richards,Drexel University,Astrophysics,Discovering Super-massive Black Holes,"quasars, black holes, massive data sets, machine learning, innovation, international collaboration, discovery, the Large Synoptic Survey Telescope, the Sloan Digital Sky Survey",http://benefunder.org/causes/45/gordon-richards
Alyson,Books,Rutgers University,Astrophysics,Solving the Small Scale Crisis of Galaxy Formation ,"galaxies, dark matter, particle physics, astronomy, simulations, supercomputing",http://benefunder.org/causes/592/alyson-brooks
"Jack Hughes, Alyson Brooks, and Andrew Baker",,Rutgers University,Astrophysics,International Collaborations for Astronomical Research,"astronomy, astrophysics, Africa, galaxies, international, human capital, diversity",http://benefunder.org/causes/600/jack-hughes-pi-andrew-baker-and-alyson-brooks
George,Fuller,"University of California, San Diego",Astrophysics,The Physics of Neutrinos,"Neutrinos, Nuclear Physics, Astrophysics, Dark Matter, Quantum Mechanics",http://benefunder.org/causes/606/george-fuller
Sean,Carroll,California Institute of Technology,Cosmology,Connecting the Fundamental Laws of Physics to Our Observable World,"cosmology, entropy, quantum mechanics, spacetime, complexity, emergence",http://benefunder.org/causes/190/sean-carroll
