First Name,Last Name,University,Categories,Headline,Keywords,Profile Link,
Medha,Pathak,"University of California, Irvine",Autism,Using Stem Cells to Repair the Damaged Brain,"Stem cells, Alzheimer’s disease, Stem cell transplant therapy, Neural stem cells, Neurogenerative diseases, Developing new treatments, Mechanobiology, Multidisciplinary, Innovative, Collaborative, Quantitative, Biophysical, Making neurons, Brain research, Microscopy, Imaging the inner workings of a cell, Brain development, Cell fate, Brain degeneration, Neurological diseases, Stroke, Neurobiology, Age-related diseases, Aging, UC Irvine, UCI, California, Parkinson’s disease, Alzheimer’s, Brain, Dementia, Cognitive decline, Orange County, Cell biology",http://benefunder.org/causes/227/medha-pathak,
Francesco,Tombola,"University of California, Irvine",Autism,Understanding Ion Channel Activity,"Therapeutics, Ion channels, Pharmacology, Electrophysiology, Stroke, Breast Cancer, Colorectal Cancer, B-Cell Lymphoma, Stem Cell Therapy, Microglia, Oxidative Stress, Autism Spectrum Disorder",http://benefunder.org/causes/492/francesco-tombola,
Lauren A.,Weiss,"University Of California, San Francisco",Autism,Unraveling the Genetics of Autism,"Therapeutics, autism, genetics, psychiatric genetics, behavioral genetics, sex differences, epistasis, gene-environment interaction, induced pluripotent stem cells, RASopathies, neurofibromatosis, Noonan syndrome, Costello syndrome, cardio-facio-cutaneous syndrome",http://benefunder.org/causes/342/lauren-weiss,
Center for Autism Research and Translation,,"University of California, Irvine",Autism,Curing Autism,"Therapeutics, autism, ion channel diseases, complex neurogenetic diseases, drug discovery platform, signaling diseases",http://benefunder.org/causes/362/center-autism-research-and-translation-jay-gargus,
Sharon,Dent,University of Texas: MD Anderson Cancer Center,Cancer,Folding the Blueprint of Life,"Therapeutics, Epigenetics, protein folding, DNA, Neurodegeneration, Cancer, Memory, Aggression",http://benefunder.org/causes/420/sharon-dent,
Daniel,Harki,University of Minnesota,Cancer,Improving the Durability of Cancer Treatment,"Therapeutics, drug discovery, cancer therapies, mutation, DNA, cancer stem cells, natural products, APOBEC3, high-throughput screening, medicinal chemistry, cancer, organic synthesis, transcription factors, biotechnology, natural products",http://benefunder.org/causes/463/daniel-harki,
Yusuke,Nakamura,University of Chicago,Cancer,Giving Hope Back to Cancer Patients,"Therapeutics, Cure cancer, genetics, New drug development, Provide hope for cancer patients, immunotherapy",http://benefunder.org/causes/248/yusuke-nakamura,
Xiushi Susan,Sun,Kansas State University,Cancer,Biomedical Tools Unravel the 3D Cellular Environment,"Therapeutics, Biomaterials, peptide, hydrogels, extracellular matrix, scaffolds, 3D cell culture, regenerative medicine, tissue engineering, organ regeneration, cell therapy, drug toxicity and efficacy screening, cancer treatment, stem cell research",http://benefunder.org/causes/459/xiushi-susan-sun,
David,Traver,"University of California, San Diego",Cancer,Zebrafish offer a Toolbox for Curing Blood Disorders,"Hematopoietic stem cells, stem cell biology, leukemia, autism, zebrafish, cancer",http://benefunder.org/causes/512/david-traver,
Shu,Chien,"University of California, San Diego",Cardiovascular,Tackling Cardiovascular Disease,"Therapeutics, cardiovascular, heart disease, blood flow, stem cell",http://benefunder.org/causes/220/shu-chien,
Judith,Van Houten,University of Vermont,Congenital,Using Novel Techniques to Explore Cilia,"Cilia, ciliopathy human developmental diseases, channels,",http://www.benefunder.com/judith-van-houten,
Gary,Peltz,Stanford University,Liver,Using Fat to Manufacture Liver Cells,"liver failure, mouse, treatment, liposuction, therapeutics, fat tissue, clinical trial, mice, humanized livers, safer drugs, medicine",http://benefunder.org/causes/371/gary-peltz,
Matthew,Rodeheffer,Yale University,Metabolics,Obesity’s Molecular and Cellular Underpinnings,"stem cells, obesity, diabetes, heart disease, adipose tissue",benefunder.org/causes/476/matthew-rodeheffer,matthew.rodeheffer@yale.edu
Maike,Sander,"University of California, San Diego",Metabolics,Investigating Pancreatic Beta Cells,"metabolics, diabetes, pancreatic beta cells, in vivo, clinical trial, stem cell, treatment, therapeutics",http://benefunder.org/causes/281/maike-sander,
Eliot,Brenowitz,University of Washington,Neurological,The Secrets in the Songbird,"songbirds, plasticity, brain, neuroplasticity, alzheimers, neurodegenerative, aging, regenerative",http://benefunder.org/causes/406/eliot-brenowitz,
Lawrence,Goldstein,"University of California, San Diego",Neurological,Stem Cells for Neurological Diseases,"Therapeutics, stem cells, neurons, ALS, Alzheimers, molecular motors, nanotechnology, protein transport and trafficking, microtubules, lysosomal storage disease",http://benefunder.org/causes/245/lawrence-goldstein,
Chris,Link,"University of Colorado, Boulder",Neurological,C. elegans Worms Help Find Treatments for Neurodegenerative Disorders,"Therapeutics, Alzheimer's Disease, Neurological, ALS, Healthcare, down syndrome",http://benefunder.org/causes/42/chris-link,
Alysson,Muotri,"University of California, San Diego",Neurological,Modeling Brain Development and Diseases,"Therapeutics, regenerative medicine, social brain, development, autism, retroelements, mobile elements, junk DNA, evolution, Neanderthals",http://benefunder.org/causes/323/alysson-muotri,
Eva-Maria,Schoetz Collins,"University of California, San Diego",Neurological,Learning To Heal Through Regenerative Organisms,toxicology; regeneration; stem cell research; neuroscience; planarians; biomechanics; development; quantitative biology; hydra; stem cell therapy; tissue engineering; neurological diseases; Alzheimer’s disease; ALS; Parkinson’s disease; neurotoxins,http://benefunder.org/causes/347/eva-maria-schoetz-collins,
Peter,Searson,Johns Hopkins University,Neurological,Reverse engineering the blood-brain barrier,"Blood-brain barrier, tissue engineering, stem cell engineering, diseases of the brain, neurodegenerative disease",http://benefunder.org/causes/433/peter-searson,
Khalid,Shah,Harvard University (Medical School),Neurological,Treating Brain Tumors,"Therapeutics, Stem cells, Brain tumors, Resection, Cancer, Targeted therapy, Oncolytic viruses, Bi-functional proteins",http://benefunder.org/causes/360/khalid-shah,
Mark,Tuszynski,"University of California, San Diego",Neurological,Treating Untreatable Neurological Disorders,"Therapeutics, Spinal cord injury, Alzheimer's disease, ALS, Parkinson's disease, Gene therapy, Stem cells",http://benefunder.org/causes/327/mark-tuszynski,
Carston,Wagner,University of Minnesota,Neurological,Drugs that do Their Job,"Therapeutics, neurological, antiviral, anticancer, pain, addiction, immunotherapy, nanotechnology, PET/CT imaging, MRI",http://benefunder.org/causes/369/carston-wagner,
Mirjana,Maletic-Savatic,Baylor College of Medicine,Neurological,Longevity of the Mind,"brain, stem cell, mind, longevity, metabolism, multiple sclerosis, autism, depression",http://benefunder.org/causes/558/mirjana-maletic-savatic,
Margaret,Fuller,Stanford University,Tissue,Adult Stem Cells: The Driving Force for Tissue Replenishment and Repair,"Male fertility, Adult stem cells, Cell proliferation vs. differentiation, Cell type specific cell cycle regulation, Spermatogenesis, regenerative medicine, stem cell",http://benefunder.org/causes/484/margaret-fuller,
Valerie,Horsley,Yale University,Tissue,Tissue Maintenance: the Basics of Disease ,"Skin, stem cells, regeneration, hair follicle, baldness, wound healing",http://benefunder.org/causes/411/valerie-horsley,
Edward,Hsiao,"University Of California, San Francisco",Tissue,The Skeleton: A Foundation for Wellbeing,"Therapeutics, genomics, congenital, regenerative medicine, grafting, surgery",http://benefunder.org/causes/376/edward-hsiao,
Arun,Srivastava,University of Florida,Tissue,Advancing Gene Therapy,"gene therapy, DNA, cell, clinical trials, liver cancer",http://benefunder.org/causes/151/arun-srivastava,
Gary Heiman &,Jay Tischfield,Rutgers University,Tourette,"Dismantling the Myths, and Treating Tourette Disorder","Tourette, Tics, Genetics, Genomics; Obsessive-Compulsive Disorder; ADHD; Mental Illness",http://benefunder.org/causes/541/gary-heiman-jay-tischfield,
