First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Laurence,Steinberg,Temple University of the Commonwealth,Adjusting to Civilian Life,Making Choices as an Adolescent: How to Minimize Risk Taking,"Adolescence, risk taking, brain development, decision making, public policy",http://benefunder.org/causes/39/laurence-steinberg
Jernej,Barbic,University of Southern California,Adjusting to Civilian Life,"Free Software for Computer Animation, Virtual Reality, Film and Games","computer simulator, military simulator, computer science, technology",http://benefunder.org/causes/148/jernej-barbic
Thomas,Barfield,Boston University,Adjusting to Civilian Life,Building a Contemporary Legacy,"history and anthropology, Afghanistan, nomads, systems of law, indigenous architecture, empires",http://benefunder.org/causes/503/thomas-barfield
Randall,Engle,Georgia Institute of Technology,Adjusting to Civilian Life,Focusing out of Distraction into Attention,"working memory, attention, problem solving, intelligence, psychology",http://benefunder.org/causes/410/randall-engle
Ravi,Starzl,Carnegie Mellon University,Adjusting to Civilian Life,(In progress),,
Mark,Graham,Rutgers University,Adjusting to Civilian Life,Serving Those Who Served Our Country,"peer support, resilience, suicide prevention, care management, PTSD, military, veterans",http://benefunder.org/causes/575/vets4warriors
Kevin,Lyons,Rutgers University,Adjusting to Civilian Life,Greening the Supply Chain,supply chain management,http://benefunder.org/causes/605/kevin-lyons
Snezana,Milanovic,"MGH, a teaching Hospital of Harvard Medical School",Mental Wellness,Cutting-Edge Tools to Combat Depression,"Depression, metabolomics, molecular, brain imaging, diagnostic test, drug targets",http://benefunder.org/causes/424/snezana-milanovic
Fernando,de la Torre,Carnegie Mellon University,Mental Wellness,Human Sensing (Understanding Human Behavior from Sensors),"Health, Emotion, Parkinson’s, Computer Vision, Machine Learning, Depression, Stress, Fatigue, Face",http://benefunder.org/causes/235/fernando-de-la-torre
Scott,Grafton,"University of California, Santa Barbara",Mental Wellness,Mapping the Brain's Electrical Circuits,"Networks, brain Connections, Learning and plasticity, Developmental disorders, Connectomics, traumatic brain injury",http://benefunder.org/causes/255/scott-grafton
Scott,Makeig,"University of California, San Diego",Mental Wellness,Advancing Human Electrical Brain Imaging,"cognitive neuroscience, cognition, neuroscience, human neuroscience, social neuroscience, EEG, ECoG, epilepsy, Parkinson's, glaucoma, schizophrenia, psychosis, Alzheimers, ADHD, Tourette's, stroke, traumatic brain injury, RBI, post-traumatic stress disorder, PTSD, music, effects of music, neurofeedback, biofeedback, brain training, source imaging, brain imaging, brain dynamics, MEG",http://benefunder.org/causes/350/scott-makeig
Dan,Sievenpiper,"University of California, San Diego",Mental Wellness,Magnetic Fields Healing Brains,"Magnetic field, depression, brain, TMS, neurological disorders, psychiatric disorders",http://benefunder.org/causes/65/dan-sievenpiper
James,Tour,Rice University,Mental Wellness,Organic Chemistry as a Vehicle for Affecting Humankind,"Nanotechnology, medicine, materials, environment, energy, water, batteries, supercapacitors, oil and gas, Christianity, Christian",http://benefunder.org/causes/179/james-tour
The Medical Devices and Systems Initiative,,"University of California, San Diego",Mental Wellness,Technological Systems for Medical Solutions,"Wearable electronics, hearing aids, brain activity mapping, epilepsy, immunosignature, ultrasound imaging, point-of-care, Cancer diagnosis and prognosis",http://benefunder.org/causes/324/medical-devices-and-systems-initiative
Richard,Davidson,University of Wisconsin-Madison,Mental Wellness,Change your Mind. Change the World.,"mind, wellbeing, aging, behavior, asthma, heart disease",http://benefunder.org/causes/202/richard-davidson
Anthony,Grace,University of Pittsburgh,Mental Wellness,Getting at the Root of Psychiatric Illness,"schizophrenia, brain, depression, animal models, novel treatments, psychiatric disorders, dopamine, prevention",http://benefunder.org/causes/320/anthony-grace
Christopher A.,Lowry,"University of Colorado, Boulder",Mental Wellness,Vaccinating for Anxiety and Depression,"Serotonin, anxiety, depression, brain, Hygiene Hypothesis, M. vaccae, Mycobacterium vaccae, post-traumatic stress disorder (PTSD), major depressive disorder (MDD), bipolar disorder, generalized anxiety disorder, obsessive compulsive disorder, panic disorder, phobia, health IT",http://benefunder.org/causes/180/christopher-lowry
Steve,Luck,"University of California, Davis",Mental Wellness,Optimizing the Brain,"clinical, brain, mind, attention, memory, emotions, ptsd",http://benefunder.org/causes/224/steve-luck
Kimberley,McAllister,"University of California, Davis",Mental Wellness,When Neurons Connect: the Developing Brain,"Therapeutics, neural development, neural plasticity, autism, schizophrenia, depression, memory, neuroimmunology",http://benefunder.org/causes/384/kimberley-mcallister
Kevin,Murphy,"University of California, San Diego",Mental Wellness,A Personal Mission becomes A Revolutionary Treatment,"anxiety, rTMS, MRT, depression, anxiety, eating disorder, bulimia, anorexia, veterans, vets, war, PTSD, traumatic stress, ASD, spectrum, autism, treatment, irritable bowel syndrome",http://benefunder.org/causes/528/kevin-t-murphy
Michael,Telch,The University of Texas at Austin,Mental Wellness,Relieving Anxiety,"psychological treatments, post-traumatic stress disorder, anxiety disorders, panic attacks, phobias, risk factors",http://benefunder.org/causes/90/michael-telch
Marta,Kutas,"University of California, San Diego",Mental Wellness,Interpreting Words and Other Sensory Inputs to Construct a World,"Language comprehension, Cognitive Electrophysiology, Human information processing, Mind-brain mapping, Functional differences between the hemispheres, Anticipation/Prediction, Language-memory interface, Electrical brain activity, brainwaves, Electroencephalography (EEG), Event-related brain potentials (ERP), Knowledge driven anticipation/prediction, hearing loss, noisy  environments, big data, reproducible research, Alternative reading methods, optimal viewing position, Non-literal language processing, Synethseia, Interaction of pictorial and verbal information during language comprehension",http://benefunder.org/causes/431/marta-kutas
Hardeep,Singh,Baylor College of Medicine,Physical Wellness,Reducing Patient Harm for Six Million Americans Each Year,"patient safety, diagnostic errors, health information technology, electronic health records, test results follow-up, health IT",http://benefunder.org/causes/234/hardeep-singh
Dennis,Barbour,Washington University,Physical Wellness,Developing Video Games for Medical Diagnostics,"Therapeutics, mobile game, device, stroke, machine learning",http://benefunder.org/causes/141/dennis-barbour
Todd,Coleman,"University of California, San Diego",Physical Wellness,Advancing Wearable Health with Smart Skin Sensors and Cloud Analytics,"nanodevices, nanotechnology, wearable sensors, glucose monitoring, remote monitoring, biomedical",http://benefunder.org/causes/124/todd-coleman
Andrew ,Ellington,The University of Texas at Austin,Physical Wellness,At-home Healthcare Diagnostics,"symptoms, point-of-care diagnostics, early diagnostics, home-health, Telemedicine",http://benefunder.org/causes/149/andrew-ellington
Eliot,Brenowitz,University of Washington,Physical Wellness,The Secrets in the Songbird,"songbirds, plasticity, brain, neuroplasticity, alzheimers, neurodegenerative, aging, regenerative, traumatic brain injury",http://benefunder.org/causes/406/eliot-brenowitz
Kenneth R.,Diller,The University of Texas at Austin,Physical Wellness,Heat Transfer for Health and Healing,"Therapeutics, circulatory, body heat, heat transfer, temperature, sleep, muscle, bone",http://benefunder.org/causes/379/kenneth-r-diller
Brian,Head,"University of California, San Diego",Physical Wellness,Investigating Brain Injuries,"Therapeutics, regenerative medicine, brain injury, clinical trials, TBI, traumatic brain injury, neurodegeneration, age, alzheimer's, gene therapy",http://benefunder.org/causes/206/brian-head
James,Henderson,Syracuse University,Physical Wellness,Shape-Memory Polymers: A Powerful Alternative,"orthopedics, fracture, polymers, shape-memory polymers, grafting, plastic, surgery",http://benefunder.org/causes/486/james-henderson
The Center for Neural Engineering and Prostheses (CNEP),,"University of California, Berkeley",Physical Wellness,Harnessing the Power of the Human Brain,"brain, clinical research, nervous system, function, BMI technology, neuroscience, anxiety, PTSD, depression, psychiatry",http://benefunder.org/causes/150/center-neural-engineering-and-prostheses-cnep
David Wassarman & Barry Ganetzky,,University of Wisconsin-Madison,Physical Wellness,New Model for Studying Traumatic Brain Injuries,"Therapeutics, Traumatic Brain Injury, Brain Disorders, Neurodegeneration, Neurogenetics, Drosophila melanogaster, Models of Human Disease, Neurological Disease, Motor impairment, Fruit fly, Genetics, traumatic brain injury, TBI",http://benefunder.org/causes/403/david-wassarman-barry-ganetzky
Amit,Bandyopadhyay,Washington State University,Physical Wellness,Solutions in 3D Printing,"Additive manufacturing, porous metals, bioceramics, bone-tissue engineering, high temperature materials, hard coatings to minimize metal ion release in vivo",http://benefunder.org/causes/517/amit-bandyopadhyay
Susmita,Bose,Washington State University,Physical Wellness,Meeting the Demands of Bone Healing,"Bioceramics, 3D printing, Additive manufacturing, surface modification of metallic implants, Bone tissue engineering, regenerative medicine",http://benefunder.org/causes/536/susmita-bose
