First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Bess,Dawson-Hughes,Tufts University,Aging,Using Diet to Preserve Health and Wellness in the Aging Population,"osteoporosis, fall prevention, frailty, vitamin D, acid-base balance of the diet, bone mass, muscle mass, muscle strength",http://benefunder.org/causes/240/bess-dawson-hughes
Douglas,Richman,"University of California, San Diego",AIDS,From the Beginning to the End: A Life Dedicated to Ending the Age of HIV,"HIV, AIDS, Infectious Diseases, Medical Virology, Antiviral Therapy, Cure and Eradication of Viral Disease",http://benefunder.org/causes/250/douglas-richman
Frazer Lab,,"University of California, San Diego",Cancer,Early Detection of Ovarian Cancer,Ovarian cancer; early cancer detection; diagnostic; genomics; bioinformatics,http://benefunder.org/causes/322/frazer-lab
Stephen,Howell,"University of California, San Diego",Cancer,Understanding How Tumors Learn,"Ovarian cancer, Drug resistance, Drug delivery systems, Genomics, Molecular mechanisms",http://benefunder.org/causes/363/stephen-howell
Sarah,Blair,"University of California, San Diego",Cancer,Combating Breast Cancer,"nanoparticles, breast cancer, gas-filled, tumor, surgery",http://benefunder.org/causes/280/sarah-blair
Serafim,Batzoglou,"University of California, San Diego",Cancer,Genomic Data Leads to Better Understanding of the Genomic Progression of Breast Cancer,"computational genomics, cancer genomics, population genetics, breast cancer, cell lineage reconstruction",http://benefunder.org/causes/233/serafim-batzoglou
Leslie,Parise,University of North Carolina Chapel Hill,Cancer,Effective Treatments for the Currently Untreatable,"breast, cancer, triple negative, drugs, therapeutics, women, women’s health",http://benefunder.org/causes/481/leslie-parise
Sten,Vermund,Vanderbilt University,Cancer,Sustainable Solutions for Quality Care in Low Income Countries,"cervical cancer, HIV, AIDS, tuberculosis, women's health, child health, health systems, quality improvement, drug abuse, sexual health, men who have sex with men, homosexuality, development countries, low income countries, health disparities, poverty, Africa, Asia, Latin America. global health, epidemiology, implementation science, medical anthropology, traditional medicine, traditional healers, patient-care center, patient-centered, health literacy",http://benefunder.org/causes/468/sten-vermund
Kai,Wucherpfennig,Harvard University,Cancer,T Cells Detect and Destroy Cancer,"Immunology, Cancer, Immunotherapy, T cells, Genomic technologies",http://benefunder.org/causes/292/kai-wucherpfennig
Erle,Robertson,University of Pennsylvania,Cancer,When Viruses Cause Cancer,"oncology, virus, cancer, lymphomas, sarcomas, pleural lymphomas, cell cycle, replication, cell division, metastasis, stem cells",http://benefunder.org/causes/390/erle-robertson
